Company Name,MRR,CAC,LTV,Churn Rate,Runway (months),LTV_CAC_ratio,Burn Rate (USD/month)
Limited,31406,132,643,0.06,107,4.871212121212121,28037.383177570093
Sotira,24321,287,2545,0.049,77,8.867595818815332,25974.02597402597
Future AGI,22302,147,655,0.05,61,4.455782313,26229.508196721312
Elio,19747,164,871,0.038,89,5.310975609756097,22471.91011235955
Pinkfish,99881,113,1062,0.053,93,9.398230088495575,81720.43010752689
Vertical Compute,147294,199,1599,0.032,132,8.035175879396984,155303.0303030303
Fleetbrains,17401,227,1799,0.05,66,7.925110132,13333.333333333334
Wonder,36722,234,954,0.06,64,4.076923076923077,40625
Merx,9318,240,2230,0.017,171,9.291666666666666,7602.339181286549
CapRelease,10475,170,850,0.046,200,5,10000
Taxflow,12119,192,706,0.025,53,3.6770833333333335,14150.943396226416
Qumis,32946,259,1468,0.018,67,5.667953667953668,32835.82089552239
ReFiBuy.ai,15386,217,1855,0.042,105,8.548387096774194,16190.47619047619
Incept AI,39528,180,1694,0.053,65,9.411111111111111,46153.84615384616
BitDCA (Littlebit),117384,222,1413,0.036,74,6.364864864864865,110810.8108108108
Human,89293,152,642,0.049,110,4.223684210526316,66363.63636363637
Glue,32390,264,1165,0.029,102,4.412878787878788,19607.843137254906
Whetstone Research,14100,192,1818,0.059,79,9.46875,16455.696202531646
Gaia Dynamics,18566,172,637,0.04,104,3.703488372093023,14423.076923076924
EcoSphere Tech,28080,206,910,0.029,233,4.417475728,21459.22746781116
Boardy AI,0,0,0,0,24,,333333.3333333333
Cluely,250000,30,300000,0.05,18,10000,294444.44444444444
ingarden,5000,50,300,0.1,12,6,108333.33333333331
Nutrix,100000,80,500000,0.05,18,6250,138888.88888888888
PHNX Materials,0,0,0,0,18,,138888.88888888888
Portia AI,0,0,0,0,24,,229166.66666666663
Slate Auto,0,0,0,0,18,,5555555.555555556
Stacks,10000,0,100000,0.01,24,,291666.6666666667
Telli,15000,200,50000,0.05,18,250,200000
Worth,0,0,0,0,24,,833333.3333333334
